Date,Open,High,Low,Close,Adj Close,Volume
1/9/2008,14364.70996,14602.65039,14271.57031,14599.16016,14599.16016,155400
1/10/2008,14546.32031,14584.73047,14388.11035,14388.11035,14388.11035,130200
1/11/2008,14419.42969,14447.49023,14096.54004,14110.79004,14110.79004,175400
1/15/2008,14134.91016,14224,13915.15039,13972.62988,13972.62988,163800
1/16/2008,13796.73047,13841.92969,13500.58984,13504.50977,13504.50977,204600
1/17/2008,13596.37988,13803.08008,13472.4502,13783.4502,13783.4502,192800
1/18/2008,13577.5,13902.63965,13365.32031,13861.29004,13861.29004,191000
1/21/2008,13701.42969,13704.65039,13320.50977,13325.94043,13325.94043,152600
1/22/2008,13125.23047,13125.23047,12572.67969,12573.04981,12573.04981,199000
1/23/2008,12756.30957,13063.78027,12619.78027,12829.05957,12829.05957,178000
1/24/2008,12952.5,13134.76953,12952.5,13092.78027,13092.78027,189600
1/25/2008,13258.76953,13647.16016,13248.88965,13629.16016,13629.16016,178800
1/28/2008,13482.83984,13501.86035,13087.91016,13087.91016,13087.91016,152800
1/29/2008,13246.69043,13506.80957,13224.66016,13478.86035,13478.86035,147000
1/30/2008,13500.51953,13514.12988,13271.12988,13345.03027,13345.03027,152400
1/31/2008,13227.48047,13622.67969,13154.76953,13592.46973,13592.46973,165200
2/1/2008,13517.74023,13648.38965,13444.08008,13497.16016,13497.16016,142600
2/4/2008,13642.59961,13889.24023,13642.59961,13859.7002,13859.7002,138200
2/5/2008,13806.16992,13821.91992,13665.63965,13745.5,13745.5,133600
2/6/2008,13548.53027,13552.19043,13099.24023,13099.24023,13099.24023,176800
2/7/2008,13077.25,13244.19043,12972.54981,13207.15039,13207.15039,163000
2/8/2008,13143.08008,13279.51953,12997.87988,13017.24023,13017.24023,170600
2/12/2008,12998.87012,13138.28027,12923.41992,13021.95996,13021.95996,147600
2/13/2008,13162.9502,13240.25977,13036.62012,13068.29981,13068.29981,138800
2/14/2008,13254.58984,13626.4502,13251.86035,13626.4502,13626.4502,147200
2/15/2008,13508.53027,13666.67969,13356.38965,13622.55957,13622.55957,154800
2/18/2008,13627.30957,13822.4502,13627.30957,13635.40039,13635.40039,147200
2/19/2008,13761.75977,13853.20996,13691.87988,13757.91016,13757.91016,147400
2/20/2008,13729.75,13729.75,13310.37012,13310.37012,13310.37012,163600
2/21/2008,13462.71973,13783.96973,13439.58984,13688.28027,13688.28027,143000
2/22/2008,13530.19043,13540.62012,13378.71973,13500.45996,13500.45996,144200
2/25/2008,13612.30957,13969.17969,13612.30957,13914.57031,13914.57031,152000
2/26/2008,14036.88965,14053.84961,13803.45996,13824.71973,13824.71973,133800
2/27/2008,14007.32031,14105.46973,13956.44043,14031.29981,14031.29981,127400
2/28/2008,13877.87988,13962.29981,13794.70996,13925.50977,13925.50977,118400
2/29/2008,13735.44043,13738.55957,13533.25,13603.01953,13603.01953,126600
3/3/2008,13412.87012,13413.62988,12992.17969,12992.17969,12992.17969,142400
3/4/2008,13080.29004,13110.38965,12883.07031,12992.28027,12992.28027,138600
3/5/2008,12973.03027,13044.00977,12919.80957,12972.05957,12972.05957,128800
3/6/2008,13068.88965,13365.21973,13050.54981,13215.41992,13215.41992,134200
3/7/2008,13024.61035,13024.61035,12744.51953,12782.79981,12782.79981,144200
3/10/2008,12716.83984,12777.07031,12527.07031,12532.12988,12532.12988,151200
3/11/2008,12392.30957,12674.88965,12352.79004,12658.28027,12658.28027,162200
3/12/2008,12841.87988,13071.21973,12799.41992,12861.12988,12861.12988,141000
3/13/2008,12741.25977,12772.37012,12351.71973,12433.44043,12433.44043,143400
3/14/2008,12509.80957,12582.57031,12167.08984,12241.59961,12241.59961,232000
3/17/2008,12089.03027,12132.69043,11691,11787.50977,11787.50977,172600
3/18/2008,11828.99023,11995.05957,11793.59961,11964.16016,11964.16016,157800
3/19/2008,12142.33008,12374.75,12142.33008,12260.44043,12260.44043,143800
3/21/2008,12331.63965,12496.41016,12308.03027,12482.57031,12482.57031,122000
3/24/2008,12473.05957,12582.45996,12438.2002,12480.08984,12480.08984,108400
3/25/2008,12639.74023,12791.24023,12572.76953,12745.21973,12745.21973,130200
3/26/2008,12648.96973,12711.78027,12591.00977,12706.62988,12706.62988,107400
3/27/2008,12618.41992,12621.55957,12475.87988,12604.58008,12604.58008,114200
3/28/2008,12594.33984,12874.4502,12507.67969,12820.46973,12820.46973,122600
3/31/2008,12709.28027,12709.28027,12430.62988,12525.54004,12525.54004,124000
4/1/2008,12539.79981,12779.13965,12521.83984,12656.41992,12656.41992,114600
4/2/2008,12836.41016,13189.36035,12836.41016,13189.36035,13189.36035,145000
4/3/2008,13190.16016,13389.90039,13137.09961,13389.90039,13389.90039,142600
4/4/2008,13286.34961,13360.80957,13220,13293.21973,13293.21973,122000
4/7/2008,13240.55957,13485.90039,13228.86035,13450.23047,13450.23047,125200
4/8/2008,13373.95996,13402.91016,13225.75977,13250.42969,13250.42969,110600
4/9/2008,13295.16016,13348.37988,12998.54004,13111.88965,13111.88965,117200
4/10/2008,13029.80957,13062.45996,12898.49023,12945.29981,12945.29981,128000
4/11/2008,13061.76953,13329.40039,13040.34961,13323.73047,13323.73047,147600
4/14/2008,13132.66992,13132.66992,12858.62988,12917.50977,12917.50977,101000
4/15/2008,12952.65039,13052.82031,12875.91992,12990.58008,12990.58008,112400
4/16/2008,13130.66016,13222.42969,13112.07031,13146.12988,13146.12988,121200
